2024/03/04 18:37:49 tracker (pid=7425)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:37:49 tracker (pid=7425)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:37:57 tracker (pid=7425)(info): server.cpp(140), thread_on_read: Connection Has Been Closed, From 127.0.0.1
2024/03/04 18:37:57 tracker (pid=7425)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:37:57 tracker (pid=7425)(error): service.cpp(124), beat: Read Fail: Success, Bodylen: 146, From: 127.0.0.1
2024/03/04 18:37:57 tracker (pid=7425)(info): server.cpp(161), thread_on_close: Client Disconnect, From: 127.0.0.1
2024/03/04 18:44:25 tracker (pid=8448)(info): log_event_mode(922): use kernel_event
2024/03/04 18:44:25 tracker (pid=8448)(info): server.cpp(67), proc_on_init: cfg_appids: tnvideo, cfg_maddrs: 127.0.0.1, cfg_raddrs: 127.0.0.1:6379, cfg_interval: 120, cfg_mtimeout: 30, cfg_maxconns: 600, cfg_ctimeout: 10, cfg_rtimeout: 0, cfg_ktimeout: 60
2024/03/04 18:44:25 tracker (pid=8448)(info): acl_threads_server_main(1639), /home/nilera/Distributed_SM/bin/tracker daemon started, log: acl_master.log
2024/03/04 18:44:28 storage (pid=8450)(info): log_event_mode(922): use kernel_event
2024/03/04 18:44:28 storage (pid=8450)(info): server.cpp(102), proc_on_init: cfg_gpname: group001, cfg_spaths: ../data, cfg_taddrs: 127.0.0.1:21000, cfg_iaddrs: 127.0.0.1:22000, cfg_maddrs: 127.0.0.1, cfg_raddrs: 127.0.0.1:6379, cfg_bindport: 23000, cfg_interval: 10, cfg_mtimeout: 30, cfg_maxconns: 600, cfg_ctimeout: 10, cfg_rtimeout: 0, cfg_ktimeout: 60
2024/03/04 18:44:28 storage (pid=8450)(info): acl_threads_server_main(1639), /home/nilera/Distributed_SM/bin/storage daemon started, log: acl_master.log
2024/03/04 18:44:28 tracker (pid=8448)(info): server.cpp(130), thread_on_accept: Connect, From: 127.0.0.1
2024/03/04 18:44:28 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 171, Command: 10, Status: 0
2024/03/04 18:44:28 tracker (pid=8448)(info): service.cpp(90), join: Storage Join, Version: 1.0, Groupname: group001, Hostname: , Port: 23000, Start Time: Mon Mar  4 18:44:28 2024
, Join Time: Mon Mar  4 18:44:28 2024

2024/03/04 18:44:28 storage (pid=8450)(info): tracker.cpp(104), join: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:44:38 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:44:38 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:44:38 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:44:48 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:44:48 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/04 18:44:48 storage (pid=8450)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/04 18:44:58 tracker (pid=8448)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/04 18:44:58 tracker (pid=8448)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
